,Dim1,Dim2
Cascading Risk,-2.1447610589527217,4.1635476330128015e-17
Climate Change,0.4662524041201569,-0.427327386967153
Crisis Entanglement,-2.1447610589527217,-1.5273806341569438e-16
Ecological Ceilings,0.466252404120157,-0.42732738696715006
Energy Transition,0.466252404120157,2.8488492464476773
Justice and Inequality,0.46625240412015695,-0.4273273869671518
Long-Term Futures,0.466252404120157,2.8488492464476773
Planetary Boundaries,0.4662524041201569,-0.4273273869671515
Planetary Limits,0.46625240412015695,-0.42732738696715017
Polycrisis,-2.1447610589527217,8.341961898810985e-17
Resilience,0.46625240412015695,-0.42732738696715156
Resource Depletion,0.46625240412015695,-0.42732738696715017
Safe and Just Earth System Boundaries,0.46625240412015695,-0.42732738696715267
Social Foundations,0.466252404120157,-0.42732738696715034
Social-Ecological Systems,0.46625240412015695,-0.42732738696715156
Systemic Interdependence,0.466252404120157,2.8488492464476773
Systemic Risk,-2.1447610589527217,8.341961898810985e-17
Tipping Points,0.46625240412015695,-0.42732738696715267
Transformation,0.466252404120157,-0.42732738696715156
