,Dim1,Dim2
Adaptation,-0.5907553850039533,-1.9398490111776379
Adaptive Cycles,-0.4709958132619857,-1.4331375227374532
Adaptive Governance,-0.54079212881134,-1.2627451369485918
Anthropocene,-0.4808659749339693,1.214339255805952
Common Stresses,2.0278715999235293,-0.0010045351483356885
Crisis Entanglement,2.1399904296861068,-0.0012355246764965578
Domino Effects,2.0278715999235284,-0.0010045351483355914
Earth System Governance,-0.6593109845882386,0.48814547400808755
Ecological Ceilings,-0.5822698733871344,0.8991664776504266
Ecological Justice,-0.5608794676668937,1.0557334008911239
Emergence,2.027871599923529,-0.001004535148335832
Energy Transition,-0.4084572370353704,-0.7102716736882544
Feedback Loops,1.0857827118057641,0.0006377748030263796
Governance under Uncertainty,-0.6593109845882392,0.48814547400808733
Inter-Systemic Feedbacks,2.0278715999235284,-0.0010045351483355953
Interconnected Crises,2.2521092594486882,-0.0014665142046568899
Justice and Inequality,-0.5608417264052521,0.25748321579768285
Panarchy,-0.4709958132619864,-1.4331375227374532
Planetary Boundaries,-0.5167349879988783,1.1159686716956922
Planetary Limits,-0.3457136909071778,0.7193143912438233
Planetary Stewardship,-0.6593109845882387,0.48814547400808733
Polycrisis,2.1399904296861085,-0.0012355246764964147
Regime Shifts,-0.5907553850039532,-1.9398490111776379
Resilience,-0.5358338639721545,-1.4746192019530684
Resource Depletion,0.14369382368799963,0.002280084754388767
Safe Operating Space,-0.5003512666518142,1.1701692202070086
Safe and Just Earth System Boundaries,-0.5608794676668938,1.055733400891124
Social Foundations,-0.5822698733871343,0.8991664776504265
Social-Ecological Systems,-0.5574465475422108,-1.4884464283582732
Socio-Technical Transformation,-0.4084572370353701,-0.7102716736882545
Sustainability Transitions,-0.42009695815944786,-0.37046164108021834
Systemic Interdependence,0.14369382368799963,0.002280084754388767
Systemic Risk,2.1399904296861085,-0.0012355246764964147
Tipping Points,-0.48086597493396965,1.2143392558059514
Transformation,-0.3358137072830188,-0.7144586657903285
