,total_weight
Transformation,20.0
Planetary Boundaries,20.0
Justice and Inequality,20.0
Planetary Limits,20.0
Resilience,16.0
Safe Operating Space,16.0
Social-Ecological Systems,12.0
Polycrisis,8.0
Sustainability Transitions,8.0
Adaptive Governance,8.0
Anthropocene,8.0
Feedback Loops,8.0
Tipping Points,8.0
Systemic Risk,8.0
Crisis Entanglement,8.0
Adaptive Cycles,4.0
Adaptation,4.0
Common Stresses,4.0
Earth System Governance,4.0
Panarchy,4.0
Interconnected Crises,4.0
Governance under Uncertainty,4.0
Inter-Systemic Feedbacks,4.0
Energy Transition,4.0
Ecological Ceilings,4.0
Ecological Justice,4.0
Emergence,4.0
Domino Effects,4.0
Resource Depletion,4.0
Planetary Stewardship,4.0
Regime Shifts,4.0
Safe and Just Earth System Boundaries,4.0
Social Foundations,4.0
Socio-Technical Transformation,4.0
Systemic Interdependence,4.0
