,Dim1,Dim2
A general framework for analyzing sustainability of social-ecological systems,-0.5592688647970109,-1.056442126095002
A safe operating space for humanity,-0.4738365717675074,1.1573328291768705
Adaptive governance of social-ecological systems,-0.5019312426813879,-1.3151910157745477
Doughnut Economics: Seven Ways to Think Like a 21st-Century Economist,-0.571296085224106,0.8443877374998245
"Earth System Governance: People, Places and the Planet",-0.6468852359635655,0.45840682744927197
Earth for All: A Survival Guide for Humanity,-0.4235999250442846,-0.028784260725765412
Global polycrisis: the causal mechanisms of crisis entanglement,1.9896531820103205,-0.0009433371708408028
Panarchy: Understanding Transformations in Human and Natural Systems,-0.4621191591250572,-1.3458283648568674
Planetary Boundaries: Exploring the Safe Operating Space for Humanity,-0.4697700325006797,1.1233864864421228
Planetary boundaries: Guiding human development on a changing planet,-0.46977003250067934,1.1233864864421228
Resilience: The emergence of a perspective for social-ecological systems analyses,-0.5796216740779662,-1.8216701337884709
Safe and just Earth system boundaries,-0.5503088152177744,0.9914163393978581
Sustainability transitions: An emerging field of research and its prospects,-0.40075922036346723,-0.6670007239627154
The Limits to Growth,0.14098568841678144,0.0021411781410023904
What Is a Global Polycrisis?,2.209664731468188,-0.0013771716829528563
