,total_weight
Global polycrisis: the causal mechanisms of crisis entanglement,32.0
A safe operating space for humanity,20.0
The Limits to Growth,20.0
Safe and just Earth system boundaries,20.0
Doughnut Economics: Seven Ways to Think Like a 21st-Century Economist,16.0
Adaptive governance of social-ecological systems,16.0
A general framework for analyzing sustainability of social-ecological systems,16.0
Earth for All: A Survival Guide for Humanity,16.0
"Earth System Governance: People, Places and the Planet",16.0
Panarchy: Understanding Transformations in Human and Natural Systems,16.0
Planetary Boundaries: Exploring the Safe Operating Space for Humanity,16.0
Resilience: The emergence of a perspective for social-ecological systems analyses,16.0
Planetary boundaries: Guiding human development on a changing planet,16.0
Sustainability transitions: An emerging field of research and its prospects,16.0
What Is a Global Polycrisis?,16.0
