,Dim1,Dim2
Adaptive Governance Analysis,0.40824829046386263,-3.0517816211112234
Comparative Case Study,0.4082482904638637,-1.6357292318350378
Conceptual Synthesis,0.40824829046386324,0.2107851843679506
Earth System Modelling,0.4082482904638624,0.6934011487127287
Integrated Assessment Modelling,0.4082482904638626,0.6934011487127287
Network Analysis,0.4082482904638625,0.6934011487127302
Process Tracing,0.40824829046386235,0.6934011487127302
Qualitative Governance Analysis,0.40824829046386285,0.39326212378988973
Resilience Assessment,0.40824829046386263,0.39326212378988973
Scenario Analysis,-2.449489742783177,1.8202191144857653e-16
System Dynamics,-2.449489742783177,1.8202191144857653e-16
