,Dim1,Dim2
A general framework for analyzing sustainability of social-ecological systems,0.40824829046386363,-0.8129959780561422
A safe operating space for humanity,0.4082482904638625,0.5158798013961331
Adaptive governance of social-ecological systems,0.4082482904638616,-2.674440078762355
Doughnut Economics: Seven Ways to Think Like a 21st-Century Economist,0.40824829046386424,0.24052524368178668
"Earth System Governance: People, Places and the Planet",0.4082482904638627,0.34463671255085265
Earth for All: A Survival Guide for Humanity,-2.4494897427831765,2.502801282417927e-16
Global polycrisis: the causal mechanisms of crisis entanglement,0.4082482904638625,0.6076646539675835
Panarchy: Understanding Transformations in Human and Natural Systems,0.4082482904638638,0.24052524368178652
Planetary Boundaries: Exploring the Safe Operating Space for Humanity,0.40824829046386285,0.5158798013961333
Planetary boundaries: Guiding human development on a changing planet,0.40824829046386174,0.79123435911048
Resilience: The emergence of a perspective for social-ecological systems analyses,0.4082482904638625,0.34463671255085265
Safe and just Earth system boundaries,0.4082482904638626,0.6076646539675824
Sustainability transitions: An emerging field of research and its prospects,0.40824829046386385,-0.8129959780561424
The Limits to Growth,-2.4494897427831765,3.4129108396608096e-16
What Is a Global Polycrisis?,0.4082482904638638,0.24052524368178652
