,total_weight
Global polycrisis: the causal mechanisms of crisis entanglement,12.0
Safe and just Earth system boundaries,12.0
A safe operating space for humanity,8.0
Adaptive governance of social-ecological systems,8.0
"Earth System Governance: People, Places and the Planet",8.0
Earth for All: A Survival Guide for Humanity,8.0
A general framework for analyzing sustainability of social-ecological systems,8.0
The Limits to Growth,8.0
Planetary Boundaries: Exploring the Safe Operating Space for Humanity,8.0
Sustainability transitions: An emerging field of research and its prospects,8.0
Resilience: The emergence of a perspective for social-ecological systems analyses,8.0
Doughnut Economics: Seven Ways to Think Like a 21st-Century Economist,4.0
Panarchy: Understanding Transformations in Human and Natural Systems,4.0
Planetary boundaries: Guiding human development on a changing planet,4.0
What Is a Global Polycrisis?,4.0
