,Dim1,Dim2
Adaptation,1.2673004260929819,1.5809474144676912
Adaptive Cycles,1.2981083611380233,1.5737106958558216
Adaptive Governance,0.8597724406520432,1.2044519506924463
Anthropocene,0.02676175275999531,-1.3687097420066503
Biodiversity Loss,0.02676175275999558,-1.36870974200665
Cascading Failures,-1.393065853059623,0.28550479074720453
Cascading Risk,-1.4501359776299452,0.4194639342132696
Climate Change,0.08405837785928634,-1.0626520147931955
Complex Adaptive Systems,-1.2241951091618934,0.024220275562311853
Crisis Entanglement,-1.3447641620576822,0.21925880847648233
Degrowth,1.0249880242056062,-1.6246976168580276
Earth System Governance,0.38887237765717425,0.7247867227085515
Ecological Justice,1.027752127634272,-1.5540669010971535
Emergence,-1.198905756902826,0.049297499070907184
Energy Transition,0.4899814265306319,-0.5735760695058228
Feedback Loops,-0.7473774515240844,-0.19382828587818768
Financial Fragility,-1.4088490334827075,0.40738848089882107
Food-Energy-Water Nexus,0.5338635748154618,-0.15680075369158641
Geopolitical Instability,-1.1344918364858976,-0.006113058327001893
Global Systemic Risk,-1.3059650846089037,0.25232540368913736
Governance under Uncertainty,-0.28043779613470027,0.5476603930990096
Just Transition,0.7294123768204619,-0.38649434400678634
Justice and Inequality,0.8631226100280024,-1.0883115186286318
Long-Term Futures,-0.8043780777568093,0.3106778258273891
Metacrisis,-0.8484123595061007,0.4939861965888441
Mineral Extraction Pressure,0.880763487559701,-0.8803970403247146
Nonlinearity,-1.1989057569028263,0.049297499070907205
Panarchy,1.298108361138023,1.57371069585582
Pandemics,-1.1344918364858976,-0.006113058327001893
Planetary Boundaries,0.1716479876329859,-1.0224500310594895
Planetary Limits,0.3722144027394257,-1.2703611678031124
Planetary Stewardship,0.8597724406520424,1.2044519506924458
Polycrisis,-0.521925849572933,0.3288332014412451
Post-Growth,1.0205654587197401,-1.737706762075426
Regime Shifts,1.2673004260929808,1.5809474144676912
Resilience,1.2775697377746615,1.5785351749304004
Resource Depletion,1.0277521276342723,-1.5540669010971533
Safe Operating Space,0.026761752759995358,-1.3687097420066503
Safe and Just Earth System Boundaries,0.026761752759995337,-1.3687097420066503
Social-Ecological Systems,1.1047853166016495,1.2170100944899143
Socio-Technical Transformation,0.7574232403684176,-0.48837304048937924
Supply Chain Vulnerability,-1.450135977629945,0.4194639342132698
Sustainability Transitions,0.6935490502104305,-0.39363810140429556
Systemic Interdependence,-1.1895299521719334,0.33438042854226174
Systemic Risk,-1.2328076197597293,0.41418203643899437
Tipping Points,-0.6940249197302771,-0.5771250844350018
Transformation,0.4973073070061617,0.1691965764749418
