,total_weight
Polycrisis,24.0
Transformation,22.0
Social-Ecological Systems,19.0
Systemic Risk,18.0
Resilience,15.0
Planetary Boundaries,14.0
Sustainability Transitions,14.0
Just Transition,13.0
Cascading Failures,13.0
Degrowth,13.0
Complex Adaptive Systems,13.0
Planetary Limits,13.0
Feedback Loops,12.0
Tipping Points,12.0
Justice and Inequality,12.0
Systemic Interdependence,11.0
Governance under Uncertainty,11.0
Long-Term Futures,10.0
Adaptation,10.0
Safe and Just Earth System Boundaries,10.0
Regime Shifts,10.0
Supply Chain Vulnerability,9.0
Mineral Extraction Pressure,9.0
Adaptive Governance,9.0
Cascading Risk,9.0
Climate Change,9.0
Planetary Stewardship,9.0
Energy Transition,9.0
Crisis Entanglement,9.0
Earth System Governance,9.0
Ecological Justice,8.0
Resource Depletion,8.0
Global Systemic Risk,8.0
Metacrisis,8.0
Emergence,8.0
Nonlinearity,8.0
Biodiversity Loss,5.0
Anthropocene,5.0
Adaptive Cycles,5.0
Financial Fragility,5.0
Safe Operating Space,5.0
Socio-Technical Transformation,5.0
Panarchy,5.0
Food-Energy-Water Nexus,4.0
Post-Growth,4.0
Pandemics,3.0
Geopolitical Instability,3.0
