,Dim1,Dim2
Complexity Theory,-1.1960102956452434,-0.01476542943937019
Degrowth / Post-Growth Research,0.9651674411321512,-1.6133768173605996
Earth System Science,0.025309079599832137,-1.2707809025337082
Existential Risk Studies,-1.0729097026074281,-0.005675679466296959
Governance Research,0.36776372790549294,0.6729294731823038
Integrated Assessment Research,0.14722863141321318,-0.6314213060626438
Metacrisis Perspectives,-0.8023591030374702,0.4586423296878343
Network Science,-1.4202274202327692,0.40346635176064793
Political Ecology,0.9787605698966798,-1.2723753309051917
Resilience Research,1.2276448458323717,1.4611143889972364
Scenario Analysis and Foresight Research,-0.4953360870361543,0.381398410132059
Social-Ecological Systems Research,1.169373589285454,1.4745522765591252
Sustainability Science,0.5048845578848868,-0.14558192813183954
Sustainability Transitions Research,0.7163090270343567,-0.4534307853002838
Systemic Risk Analysis,-1.332374327359458,0.3782405323421187
Systems Thinking,-1.0716439575177068,0.10630612421098157
