,Dim1,Dim2
Adaptive Governance Analysis,0.3517781814143241,1.6637529629163534
Cascading Risk Analysis,-1.894040229438221,-0.06869258300598517
Comparative Case Study,0.7201741510371341,0.7241610468692872
Complex Systems Simulation,-1.2261049217967896,-0.2684480760549281
Conceptual Synthesis,0.42339192737150005,-0.1567818002534973
Earth System Modelling,0.9885833255778002,-2.1496680062030786
Foresight,0.3462745784119349,-0.34484278386413836
Integrated Assessment Modelling,0.7624129928859563,-1.7368801626182442
Network Analysis,-1.7114563045288294,-0.16170267683113915
Post-Normal Science,0.17850891671748356,1.03645852435186
Process Tracing,-0.990357631689091,0.7765515046951162
Qualitative Governance Analysis,0.5232748560019552,1.1031953264427408
Resilience Assessment,0.5889928325631479,1.2146126470222647
Scenario Analysis,0.6494435588723422,-0.659883613103674
System Dynamics,-0.10977282026667609,-0.4036199970677678
Transdisciplinary Research,0.8283412187052616,0.5911163433293201
