dimension,eigenvalue,explained_inertia,explained_inertia_percent
Dim1,0.8093871351825961,0.2050465944299329,20.50465944299329
Dim2,0.7049820047879987,0.17859705563957926,17.859705563957924
Dim3,0.5692333544798409,0.1442070866936704,14.420708669367041
Dim4,0.5080380515747608,0.12870413648559217,12.870413648559218
Dim5,0.4270486895929075,0.10818664598250223,10.818664598250223
Dim6,0.27685052211378747,0.07013609959685653,7.013609959685653
Dim7,0.1730973606777904,0.0438517277690404,4.3851727769040405
Dim8,0.12847697346256529,0.03254779415936822,3.254779415936822
Dim9,0.10523476748984013,0.026659715421038385,2.6659715421038386
Dim10,0.09770492022080988,0.024752136869343383,2.4752136869343384
Dim11,0.07386407538120757,0.018712401580506525,1.8712401580506526
Dim12,0.039148629736680526,0.009917742517977878,0.9917742517977878
Dim13,0.02692070325029485,0.00681997313916595,0.6819973139165949
Dim14,0.007188165345666258,0.0018210183486492117,0.18210183486492118
Dim15,0.00015738555141994707,3.987136677661287e-05,0.003987136677661287
Dim16,3.3664550225555144e-33,8.528429816478678e-34,8.528429816478678e-32
