,Dim1,Dim2
Complexity Theory,-1.1290694603970186,-0.33100639537413384
Degrowth / Post-Growth Research,0.6643290143774432,-0.03672416777539617
Earth System Science,0.8893883360277232,-1.8049301873838983
Existential Risk Studies,-0.08536073777767492,-0.5054493612554211
Governance Research,0.017563401930902167,1.3636801489108141
Integrated Assessment Research,0.48243577948107713,-1.11175036824769
Metacrisis Perspectives,0.3513090118367512,0.21232869429693524
Network Science,-1.7901593868952628,-0.1980404499428395
Political Ecology,0.7676201678161316,0.9601319502878511
Resilience Research,0.4443882095278502,0.6094549269796893
Scenario Analysis and Foresight Research,0.525795272341944,-0.46111792909624255
Social-Ecological Systems Research,0.6153977320960827,1.430200523315595
Sustainability Science,0.7284286407136759,0.14846145042308606
Sustainability Transitions Research,0.7013366947325954,0.4634858563645384
Systemic Risk Analysis,-1.6178230146793584,0.08268745928650868
Systems Thinking,-0.3380856350705257,-0.3290528108688763
