id,source,target,type,weight,confidence,directed,evidence_note,source_basis
E0001,PER_michael_lawrence,P_what_is_global_polycrisis_2022,authored,5,high,True,Author listed for representative key publication.,external_cascade_2022
E0002,PER_scott_janzwood,P_what_is_global_polycrisis_2022,authored,5,high,True,Author listed for representative key publication.,external_cascade_2022
E0003,PER_thomas_homer_dixon,P_what_is_global_polycrisis_2022,authored,5,high,True,Author listed for representative key publication.,external_cascade_2022
E0004,PER_michael_lawrence,P_global_polycrisis_causal_mechanisms_2024,authored,5,high,True,Author listed for representative key publication.,external_cambridge_2024
E0005,PER_thomas_homer_dixon,P_global_polycrisis_causal_mechanisms_2024,authored,5,high,True,Author listed for representative key publication.,external_cambridge_2024
E0006,PER_scott_janzwood,P_global_polycrisis_causal_mechanisms_2024,authored,5,high,True,Author listed for representative key publication.,external_cambridge_2024
E0007,PER_johan_rockstrom,P_global_polycrisis_causal_mechanisms_2024,authored,5,high,True,Author listed for representative key publication.,external_cambridge_2024
E0008,PER_ortwin_renn,P_global_polycrisis_causal_mechanisms_2024,authored,5,high,True,Author listed for representative key publication.,external_cambridge_2024
E0009,PER_jonathan_donges,P_global_polycrisis_causal_mechanisms_2024,authored,5,high,True,Author listed for representative key publication.,external_cambridge_2024
E0010,PER_donella_meadows,P_limits_to_growth_1972,authored,5,high,True,Author listed for representative key publication.,external_club_of_rome_1972
E0011,PER_dennis_meadows,P_limits_to_growth_1972,authored,5,high,True,Author listed for representative key publication.,external_club_of_rome_1972
E0012,PER_jorgen_randers,P_limits_to_growth_1972,authored,5,high,True,Author listed for representative key publication.,external_club_of_rome_1972
E0013,PER_william_behrens,P_limits_to_growth_1972,authored,5,high,True,Author listed for representative key publication.,external_club_of_rome_1972
E0014,PER_johan_rockstrom,P_safe_operating_space_nature_2009,authored,5,high,True,Author listed for representative key publication.,external_nature_2009
E0015,PER_will_steffen,P_safe_operating_space_nature_2009,authored,5,high,True,Author listed for representative key publication.,external_nature_2009
E0016,PER_johan_rockstrom,P_planetary_boundaries_ecology_society_2009,authored,5,high,True,Author listed for representative key publication.,external_ecology_society_2009
E0017,PER_will_steffen,P_planetary_boundaries_ecology_society_2009,authored,5,high,True,Author listed for representative key publication.,external_ecology_society_2009
E0018,PER_will_steffen,P_planetary_boundaries_guiding_development_2015,authored,5,high,True,Author listed for representative key publication.,external_science_2015
