id,label,type,community_id,degree,degree_centrality,weighted_degree,weighted_in_degree,weighted_out_degree,betweenness_centrality,pagerank
RF_systems_thinking,Systems Thinking,ResearchField,COMM_01,15,0.08875739644970414,59.0,23.0,36.0,0.020120100655628477,0.005684043830268106
RF_complexity_theory,Complexity Theory,ResearchField,COMM_01,16,0.09467455621301775,68.0,28.0,40.0,0.014595299104087828,0.006004585423938929
RF_earth_system_science,Earth System Science,ResearchField,COMM_02,28,0.16568047337278108,126.0,65.0,61.0,0.10112582757870163,0.013441034692190988
RF_sustainability_science,Sustainability Science,ResearchField,COMM_06,38,0.22485207100591717,143.0,90.0,53.0,0.13818064284972945,0.016202324313451196
RF_resilience_research,Resilience Research,ResearchField,COMM_03,18,0.10650887573964497,81.0,28.0,53.0,0.03964560444642863,0.0070429607462774565
RF_social_ecological_systems,Social-Ecological Systems Research,ResearchField,COMM_03,17,0.10059171597633136,77.0,35.0,42.0,0.02632076028367236,0.010124001690982026
RF_transition_studies,Sustainability Transitions Research,ResearchField,COMM_05,16,0.09467455621301775,70.0,22.0,48.0,0.03776871530992409,0.008559116418820968
RF_governance_research,Governance Research,ResearchField,COMM_07,29,0.17159763313609466,112.0,63.0,49.0,0.09104505353448715,0.012215682792060359
RF_systemic_risk_analysis,Systemic Risk Analysis,ResearchField,COMM_01,23,0.13609467455621302,105.0,39.0,66.0,0.060561157401816744,0.007232177515331129
RF_political_ecology,Political Ecology,ResearchField,COMM_05,11,0.0650887573964497,39.0,0.0,39.0,0.005020780501549732,0.0029341150270392807
RF_degrowth_postgrowth,Degrowth / Post-Growth Research,ResearchField,COMM_04,13,0.07692307692307693,52.0,19.0,33.0,0.01391765285996055,0.005166722555671248
RF_existential_risk,Existential Risk Studies,ResearchField,COMM_08,8,0.047337278106508875,24.0,0.0,24.0,0.006227888920196611,0.0029341150270392807
RF_metacrisis,Metacrisis Perspectives,ResearchField,COMM_08,9,0.05325443786982249,32.0,8.0,24.0,0.001972386587771203,0.004955435933237098
RF_integrated_assessment,Integrated Assessment Research,ResearchField,COMM_04,15,0.08875739644970414,62.0,27.0,35.0,0.032343400646972074,0.007736395461744654
RF_scenario_foresight,Scenario Analysis and Foresight Research,ResearchField,COMM_08,11,0.0650887573964497,47.0,12.0,35.0,0.04660912195252856,0.005048351067961432
RF_network_science,Network Science,ResearchField,COMM_01,8,0.047337278106508875,35.0,0.0,35.0,0.0035528421517432495,0.0029341150270392807
C_polycrisis,Polycrisis,Concept,COMM_01,33,0.1952662721893491,129.0,59.0,70.0,0.12664611488793526,0.01045146220580622
C_interconnected_crises,Interconnected Crises,Concept,COMM_01,11,0.0650887573964497,36.0,9.0,27.0,0.03808036692652076,0.004088158149744278
C_systemic_interdependence,Systemic Interdependence,Concept,COMM_04,8,0.047337278106508875,29.0,29.0,0.0,0.007041533700140929,0.006933797051954089
C_systemic_risk,Systemic Risk,Concept,COMM_01,20,0.11834319526627218,86.0,43.0,43.0,0.011909793503200095,0.007482246441740919
C_global_systemic_risk,Global Systemic Risk,Concept,COMM_01,4,0.023668639053254437,17.0,17.0,0.0,0.0011787357941204092,0.004958605064673694
C_cascading_risk,Cascading Risk,Concept,COMM_01,8,0.047337278106508875,36.0,31.0,5.0,0.0003522118906734291,0.009362609675133466
C_cascading_failures,Cascading Failures,Concept,COMM_01,4,0.023668639053254437,18.0,18.0,0.0,0.0,0.012153675724842041
C_feedback_loops,Feedback Loops,Concept,COMM_01,11,0.0650887573964497,44.0,36.0,8.0,0.008985002309084899,0.010766019971562334
