id,label,type,concept_family,subtype,year,publication_type,domain,orientation,scale,relevance,confidence,source_basis,community_id,notes
RF_systems_thinking,Systems Thinking,ResearchField,,,,,cross-domain,analytical;methodological,multi-scale,core,medium,uploaded_research_design,COMM_01,
RF_complexity_theory,Complexity Theory,ResearchField,,,,,cross-domain,analytical;methodological,multi-scale,core,medium,uploaded_research_design,COMM_01,
RF_earth_system_science,Earth System Science,ResearchField,,,,,ecological;cross-domain,analytical;methodological,planetary,core,medium,uploaded_research_design,COMM_02,
RF_sustainability_science,Sustainability Science,ResearchField,,,,,cross-domain,analytical;transformative;governance-oriented,global;planetary;multi-scale,core,medium,uploaded_research_design,COMM_06,
RF_resilience_research,Resilience Research,ResearchField,,,,,ecological;social;cross-domain,analytical;transformative,multi-scale,core,medium,uploaded_research_design,COMM_03,
RF_social_ecological_systems,Social-Ecological Systems Research,ResearchField,,,,,ecological;social;cross-domain,analytical;governance-oriented,multi-scale,core,medium,uploaded_research_design,COMM_03,
RF_transition_studies,Sustainability Transitions Research,ResearchField,,,,,technological;energy;social;cross-domain,transformative;governance-oriented,multi-scale,core,medium,uploaded_research_design,COMM_05,
RF_governance_research,Governance Research,ResearchField,,,,,political;social;cross-domain,governance-oriented;analytical,local;national;regional;global,core,medium,uploaded_research_design,COMM_07,
RF_systemic_risk_analysis,Systemic Risk Analysis,ResearchField,,,,,economic;technological;geopolitical;cross-domain,analytical;methodological,global;multi-scale,core,medium,uploaded_research_design,COMM_01,
RF_political_ecology,Political Ecology,ResearchField,,,,,ecological;political;social,critical;analytical,local;regional;global,adjacent,medium,uploaded_research_design,COMM_05,
RF_degrowth_postgrowth,Degrowth / Post-Growth Research,ResearchField,,,,,economic;ecological;social,critical;transformative,global;multi-scale,adjacent,medium,uploaded_research_design,COMM_04,
RF_existential_risk,Existential Risk Studies,ResearchField,,,,,technological;geopolitical;ecological;cross-domain,analytical;long-term,global;planetary,adjacent,medium,uploaded_research_design,COMM_08,
RF_metacrisis,Metacrisis Perspectives,ResearchField,,,,,cross-domain,critical;analytical;transformative,civilizational;global,adjacent,medium,uploaded_research_design,COMM_08,
RF_integrated_assessment,Integrated Assessment Research,ResearchField,,,,,climate;energy;economic;cross-domain,methodological;analytical,global;planetary,adjacent,medium,uploaded_research_design,COMM_04,
RF_scenario_foresight,Scenario Analysis and Foresight Research,ResearchField,,,,,cross-domain,methodological;governance-oriented,global;multi-scale,adjacent,medium,uploaded_research_design,COMM_08,
RF_network_science,Network Science,ResearchField,,,,,technological;economic;cross-domain,methodological;analytical,multi-scale,adjacent,medium,uploaded_research_design,COMM_01,
C_polycrisis,Polycrisis,Concept,umbrella_concept,,,,cross-domain,analytical;governance-oriented;mixed,global;planetary,core,medium,uploaded_research_design,COMM_01,
C_interconnected_crises,Interconnected Crises,Concept,umbrella_concept,,,,cross-domain,analytical,global;multi-scale,core,medium,uploaded_research_design,COMM_01,
C_systemic_interdependence,Systemic Interdependence,Concept,systems_property,,,,cross-domain,analytical,multi-scale,core,medium,uploaded_research_design,COMM_04,
C_systemic_risk,Systemic Risk,Concept,risk_concept,,,,cross-domain,analytical;methodological,global;multi-scale,core,medium,uploaded_research_design,COMM_01,
C_global_systemic_risk,Global Systemic Risk,Concept,risk_concept,,,,cross-domain,analytical,global;planetary,core,medium,uploaded_research_design,COMM_01,
C_cascading_risk,Cascading Risk,Concept,risk_concept,,,,cross-domain,analytical;methodological,multi-scale,core,medium,uploaded_research_design,COMM_01,
C_cascading_failures,Cascading Failures,Concept,risk_concept,,,,technological;economic;cross-domain,analytical;methodological,multi-scale,core,medium,uploaded_research_design,COMM_01,
C_feedback_loops,Feedback Loops,Concept,systems_property,,,,cross-domain,analytical;methodological,multi-scale,core,medium,uploaded_research_design,COMM_01,
C_tipping_points,Tipping Points,Concept,systems_property,,,,ecological;climate;cross-domain,analytical,global;planetary,core,medium,uploaded_research_design,COMM_02,
C_planetary_boundaries,Planetary Boundaries,Concept,framework,,,,ecological;planetary;cross-domain,analytical;governance-oriented,planetary,core,medium,uploaded_research_design,COMM_02,
C_safe_just_earth_system_boundaries,Safe and Just Earth System Boundaries,Concept,framework,,,,ecological;social;planetary,analytical;governance-oriented;justice-oriented,planetary;global,core,medium,uploaded_research_design,COMM_02,
C_safe_operating_space,Safe Operating Space,Concept,framework_component,,,,ecological;planetary,analytical;governance-oriented,planetary,core,medium,uploaded_research_design,COMM_02,
C_planetary_limits,Planetary Limits,Concept,framework_component,,,,ecological;planetary,analytical;critical,planetary,core,medium,uploaded_research_design,COMM_04,
C_resilience,Resilience,Concept,systems_property,,,,ecological;social;cross-domain,analytical;transformative,multi-scale,core,medium,uploaded_research_design,COMM_03,
C_adaptation,Adaptation,Concept,response_concept,,,,ecological;social;climate,transformative;governance-oriented,multi-scale,core,medium,uploaded_research_design,COMM_03,
C_transformation,Transformation,Concept,response_concept,,,,cross-domain,transformative;governance-oriented,multi-scale;global,core,medium,uploaded_research_design,COMM_03,
C_complex_adaptive_systems,Complex Adaptive Systems,Concept,systems_framework,,,,cross-domain,analytical;methodological,multi-scale,core,medium,uploaded_research_design,COMM_01,
C_social_ecological_systems,Social-Ecological Systems,Concept,systems_framework,,,,ecological;social;cross-domain,analytical;governance-oriented,multi-scale,core,medium,uploaded_research_design,COMM_03,
C_anthropocene,Anthropocene,Concept,epoch_diagnosis,,,,ecological;social;planetary,analytical;critical,planetary,core,medium,uploaded_research_design,COMM_02,
C_planetary_stewardship,Planetary Stewardship,Concept,governance_concept,,,,ecological;political;planetary,governance-oriented;transformative,planetary;global,core,medium,uploaded_research_design,COMM_07,
C_metacrisis,Metacrisis,Concept,diagnosis,,,,cross-domain,critical;analytical;transformative,global;civilizational,adjacent,medium,uploaded_research_design,COMM_08,
C_degrowth,Degrowth,Concept,critical_economic_concept,,,,economic;ecological;social,critical;transformative,multi-scale;global,adjacent,medium,uploaded_research_design,COMM_04,
